text,figurative_language_type,emotion
"Her determination was a mountain, unshakable and strong.",Metaphor,Determination
"His love was a garden, blooming with affection.",Metaphor,Love
"The sadness was a fog, clouding her mind.",Metaphor,Sadness
"Her happiness was a rainbow, bright and colorful.",Metaphor,Happiness
"His frustration was a wall, blocking his progress.",Metaphor,Frustration
"The excitement was a spark, igniting her enthusiasm.",Metaphor,Excitement
"Her fear was a spider, crawling into her thoughts.",Metaphor,Fear
"His anger was a storm, raging inside him.",Metaphor,Anger
"The love was a melody, playing in their hearts.",Metaphor,Love
"Her sadness was a weight, dragging her down.",Metaphor,Sadness
"His joy was a flame, burning brightly.",Metaphor,Happiness
"The hope was a light, guiding them forward.",Metaphor,Hope
"Her determination was a fire, unstoppable and fierce.",Metaphor,Determination
"His fear was a shadow, lurking in the corners.",Metaphor,Fear
"The anger was a volcano, ready to erupt.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a cloud, covering the sun.",Metaphor,Sadness
"The happiness was a song, filling the air with joy.",Metaphor,Happiness
"Her frustration was a knot, impossible to untangle.",Metaphor,Frustration
"His excitement was a spark, lighting up his face.",Metaphor,Excitement
"The fear was a monster, hiding under the bed.",Metaphor,Fear
"Her anger was a storm, brewing on the horizon.",Metaphor,Anger
"His love was a flame, burning brightly.",Metaphor,Love
"The sadness was a river, flowing endlessly.",Metaphor,Sadness
"Her joy was a sunrise, bringing light to the world.",Metaphor,Happiness
"His determination was a rock, solid and unyielding.",Metaphor,Determination
"The hope was a star, shining in the darkness.",Metaphor,Hope
"Her fear was a shadow, following her everywhere.",Metaphor,Fear
"His anger was a wildfire, spreading uncontrollably.",Metaphor,Anger
"The love was a melody, playing in their hearts.",Metaphor,Love
"Her sadness was a fog, clouding her mind.",Metaphor,Sadness
"His happiness was a rainbow, bright and colorful.",Metaphor,Happiness
"The frustration was a wall, blocking his progress.",Metaphor,Frustration
"Her excitement was a spark, igniting her enthusiasm.",Metaphor,Excitement
"His fear was a spider, crawling into his thoughts.",Metaphor,Fear
"The anger was a storm, raging inside him.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
"Her love was a rose, beautiful and delicate.",Metaphor,Love
"His sadness was a weight, dragging him down.",Metaphor,Sadness
"The joy was a flame, burning brightly.",Metaphor,Happiness
"Her hope was a light, guiding her forward.",Metaphor,Hope
"His determination was a fire, unstoppable and fierce.",Metaphor,Determination
"The fear was a shadow, lurking in the corners.",Metaphor,Fear
"Her anger was a volcano, ready to erupt.",Metaphor,Anger
"His love was a melody, playing in his heart.",Metaphor,Love
"The sadness was a cloud, covering the sun.",Metaphor,Sadness
"Her happiness was a song, filling the air with joy.",Metaphor,Happiness
"His frustration was a knot, impossible to untangle.",Metaphor,Frustration
"The excitement was a spark, lighting up his face.",Metaphor,Excitement
"Her fear was a monster, hiding under the bed.",Metaphor,Fear
"His anger was a storm, brewing on the horizon.",Metaphor,Anger
